epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1311.55,1.00553,0.71553,1.01452,0.81812,0.84727,0.88831,0.59583,1.11777,0.82966,1.02188,0.000607222,0.000607222,0.000607222
87,1326.71,0.96938,0.70487,1.01155,0.72814,0.89377,0.86311,0.53329,1.27751,0.82363,1.06283,0.000605318,0.000605318,0.000605318
88,1341.9,1.06886,0.73356,1.01851,0.82852,0.78663,0.8402,0.57282,1.07266,0.82604,0.99278,0.000603415,0.000603415,0.000603415
89,1357.04,0.98248,0.69853,0.9999,0.81217,0.87881,0.87409,0.57126,1.14516,0.7755,1.03828,0.000601512,0.000601512,0.000601512
90,1372.12,0.9319,0.7132,0.99639,0.8616,0.86631,0.87806,0.55299,1.24982,0.78478,1.05676,0.000599609,0.000599609,0.000599609
91,1387.29,0.97932,0.69648,1.00392,0.82974,0.88077,0.87747,0.6049,1.08931,0.76962,1.00339,0.000597705,0.000597705,0.000597705
92,1402.41,0.97966,0.67549,0.99479,0.91948,0.78516,0.90115,0.52676,1.28283,0.7601,1.06066,0.000595802,0.000595802,0.000595802
93,1417.51,0.97088,0.6935,0.99305,0.84111,0.87961,0.8793,0.60038,1.05464,0.76312,0.97194,0.000593899,0.000593899,0.000593899
94,1432.69,1.02089,0.70782,1.01701,0.7828,0.86147,0.87762,0.59066,1.11354,0.77883,0.97903,0.000591995,0.000591995,0.000591995
95,1447.87,0.96711,0.69494,0.99445,0.86794,0.90264,0.8924,0.57596,1.13557,0.75865,0.98207,0.000590092,0.000590092,0.000590092
96,1463.01,0.92576,0.67547,0.99426,0.91772,0.86292,0.91986,0.6019,1.09032,0.74363,0.98945,0.000588189,0.000588189,0.000588189
97,1478.17,0.96043,0.67599,1.00251,0.82764,0.88593,0.91417,0.60397,1.16366,0.76359,1.02105,0.000586286,0.000586286,0.000586286
98,1493.25,0.98954,0.70996,1.00106,0.8427,0.8653,0.9165,0.59913,1.10174,0.73287,1.01239,0.000584382,0.000584382,0.000584382
99,1508.47,0.90971,0.66937,1.00171,0.84069,0.87963,0.92741,0.61712,1.10266,0.78862,1.0027,0.000582479,0.000582479,0.000582479
100,1523.55,0.96951,0.71476,1.07373,0.89101,0.82036,0.88623,0.55512,1.14464,0.76246,1.03057,0.000580576,0.000580576,0.000580576
101,1538.68,0.92668,0.66442,0.99161,0.76691,0.88961,0.85044,0.55252,1.14259,0.75599,1.03279,0.000578672,0.000578672,0.000578672
102,1554.24,0.97757,0.67426,1.01232,0.78056,0.8495,0.83227,0.58875,1.05145,0.77988,1.00717,0.000576769,0.000576769,0.000576769
103,1569.54,0.98635,0.68471,1.01127,0.87213,0.75866,0.85466,0.56803,1.10844,0.73854,1.01072,0.000574866,0.000574866,0.000574866
104,1584.72,0.98322,0.67288,1.00683,0.86774,0.79365,0.87774,0.59143,1.114,0.73907,1.00841,0.000572963,0.000572963,0.000572963
105,1599.88,1.00882,0.69723,1.01407,0.75199,0.837,0.85741,0.62103,1.02025,0.77661,0.98365,0.000571059,0.000571059,0.000571059
106,1615.11,1.01023,0.6743,0.9953,0.83195,0.8245,0.85753,0.5803,1.04592,0.7602,0.98088,0.000569156,0.000569156,0.000569156
107,1630.33,0.9972,0.67827,0.99488,0.78914,0.86436,0.87982,0.59796,1.02369,0.75342,0.98376,0.000567253,0.000567253,0.000567253
108,1645.48,0.96575,0.68882,1.00395,0.79895,0.89332,0.86837,0.54652,1.10546,0.79034,0.9952,0.00056535,0.00056535,0.00056535
109,1660.78,1.0327,0.68221,1.01505,0.9001,0.7867,0.85617,0.5719,1.07234,0.74036,0.98869,0.000563446,0.000563446,0.000563446
110,1675.86,0.97518,0.6738,0.98933,0.72498,0.88344,0.82938,0.56467,1.07022,0.72239,0.99834,0.000561543,0.000561543,0.000561543
